PID,Name,CPU%,Memory%
1105,ModemManager,0.0,0.11329950088275777
1106,firewalld,0.0,0.3332820606201812
1119,abrt-dump-journal-core,0.0,0.24424284717376132
1120,abrt-dump-journal-oops,0.0,0.29021863665101716
1121,abrt-dump-journal-xorg,0.0,0.24031256750750143
1127,NetworkManager,0.0,0.1625269605874948
1129,kworker/R-rpciod,0.0,0.0
1130,kworker/R-xprtiod,0.0,0.0
1196,wpa_supplicant,0.0,0.07987798602290759
1217,cupsd,0.0,0.0769373451215333
1218,gssproxy,0.0,0.05400600116947027
1219,tuned,0.0,0.2256941891804773
1229,tuned-ppd,0.0,0.2079089668058193
1241,gdm,0.0,0.06791749466443328
1279,uresourced,0.0,0.04837919790626368
1281,psimon,0.0,0.0
1382,colord,0.0,0.10459067975176467
1854,krfcommd,0.0,0.0
2707,abrt-dbus,0.0,0.10153693727726058
3001,fwupd,0.0,0.27961536417010024
3048,passimd,0.0,0.09124469412245055
13342,kworker/9:1-cgroup_bpf_destroy,0.0,0.0
24653,kworker/3:1-events,0.0,0.0
27410,kworker/1:2-events,0.0,0.0
27549,gdm-session-worker,0.0,0.08530686153313706
27562,systemd,0.0,0.12070765392275841
27564,(sd-pam),0.0,0.02194170518717745
27582,gnome-keyring-daemon,0.0,0.05731422218351635
27602,gdm-wayland-session,0.0,0.04289377160946931
27607,dbus-broker-launch,0.0,0.0286712487883994
27611,dbus-broker,0.0,0.036871112840308494
27615,gnome-session-binary,0.0,0.12749374831054525
27672,gnome-session-ctl,0.0,0.03672973587389627
27673,uresourced,0.0,0.08869990872703049
27676,gnome-session-binary,0.0,0.13606119247512613
27679,gvfsd,0.0,0.06574028938168501
27685,gvfsd-fuse,0.0,0.07269603612916652
27697,pipewire,0.0,0.09455291513649663
27699,wireplumber,0.0,0.20607106624246038
27729,gnome-shell,0.0,2.334416469398673
27773,xdg-permission-store,0.0,0.04416616430717935
27799,at-spi-bus-launcher,0.0,0.07464703826565523
27805,dbus-broker-launch,0.0,0.027794711596643595
27806,dbus-broker,0.0,0.02163067586107055
27807,at-spi2-registryd,0.0,0.05024537386290506
27812,gnome-shell-calendar-server,0.0,0.1547512274348224
27831,dconf-service,0.0,0.04275239464305709
27833,evolution-source-registry,0.0,0.31620372307758426
27849,gjs,0.0,0.23810708683147075
27854,ibus-daemon,0.0,0.12378967179054494
27856,gsd-a11y-settings,0.0,0.07116916489191448
27859,gsd-color,0.0,0.1816128510531453
27861,gsd-datetime,0.0,0.08547651389283174
27863,gsd-housekeeping,0.0,0.08072624782138095
27866,gsd-keyboard,0.0,0.1723385220565033
27874,gsd-media-keys,0.0,0.1988325655621544
27877,gsd-power,0.0,0.18675897263055033
27881,evolution-alarm-notify,0.0,0.413046945069959
27882,gsd-print-notifications,0.0,0.0883323286143587
27884,gsd-rfkill,0.0,0.04849229947939346
27887,gsd-screensaver-proxy,0.0,0.04422271509374424
27889,gsd-sharing,0.0,0.10266795300855838
27890,gsd-smartcard,0.0,0.10001006604000856
27894,gsd-sound,0.0,0.08830405322107625
27898,gsd-usb-protection,0.0,0.07337464556794521
27904,gsd-wacom,0.0,0.18152802487329797
27931,gnome-software,0.0,3.630928077578631
27944,gsd-disk-utility-notify,0.0,0.05318601476427936
27966,goa-daemon,0.0,0.3276552573569746
28015,ibus-dconf,0.0,0.07334637017466275
28016,ibus-extension-gtk3,0.0,0.25600541077925854
28021,pcscd,0.0,0.056692163531302554
28069,ibus-portal,0.0,0.07504289377160947
28070,abrt-applet,0.0,0.15067957080215028
28071,gjs,0.0,0.23827673919116543
28072,evolution-calendar-factory,0.0,0.19869118859574217
28074,goa-identity-service,0.0,0.07617390950290727
28113,gvfs-udisks2-volume-monitor,0.0,0.1146849951535976
28123,evolution-addressbook-factory,0.0,0.22060461838963719
28144,gvfs-mtp-volume-monitor,0.0,0.047559211501072764
28159,gvfs-gphoto2-volume-monitor,0.0,0.052620506898630445
28174,gvfs-afc-volume-monitor,0.0,0.05722939600366901
28183,gvfs-goa-volume-monitor,0.0,0.07416635657985367
28221,ibus-engine-simple,0.0,0.07447738590596056
28252,gvfsd-trash,0.0,0.09169710041496967
28298,pipewire-pulse,0.0,0.10368586716672643
28343,xdg-desktop-portal,0.0,0.10925611964336811
28358,xdg-document-portal,0.0,0.048661951839088134
28375,fusermount3,0.0,0.0143356243941997
28401,gsd-printer,0.0,0.11830424549375057
28402,xdg-desktop-portal-gnome,0.0,0.28309323754384097
28430,xdg-desktop-portal-gtk,0.0,0.18904927948642836
